"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar0.9375","semivar1.875","semivar2.8125","semivar3.75","semivar4.6875","semivar5.625","semivar6.5625","semivar7.5","semivar8.4375","semivar9.375","semivar10.3125","semivar11.25","semivar12.1875","semivar13.125","semivar14.0625","semivar15","semivar15.9375","semivar16.875","semivar17.8125","semivar18.75","semivar19.6875","semivar20.625","semivar21.5625","semivar22.5","semivar23.4375","semivar24.375","semivar25.3125","semivar26.25","semivar27.1875","semivar28.125","semivar29.0625","semivar30","semivar30.9375","semivar31.875","semivar32.8125","semivar33.75","semivar34.6875","semivar35.625","semivar36.5625","semivar37.5","semivar38.4375","semivar39.375","semivar40.3125","semivar41.25","semivar42.1875","semivar43.125","semivar44.0625","semivar45","semivar45.9375","semivar46.875","semivar47.8125","semivar48.75","semivar49.6875","semivar50.625","semivar51.5625","semivar52.5","semivar53.4375","semivar54.375","semivar55.3125","semivar56.25","semivar57.1875","semivar58.125","semivar59.0625","semivar60","semivar60.9375","semivar61.875","semivar62.8125","semivar63.75","semivar64.6875","semivar65.625","semivar66.5625","semivar67.5","semivar68.4375","semivar69.375","semivar70.3125","semivar71.25","semivar72.1875","semivar73.125","semivar74.0625","semivar75","semivar75.9375","semivar76.875","semivar77.8125","semivar78.75","semivar79.6875","semivar80.625","semivar81.5625","semivar82.5","semivar83.4375","semivar84.375","semivar85.3125","semivar86.25","semivar87.1875","semivar88.125","semivar89.0625","semivar90","semivar90.9375","semivar91.875","semivar92.8125","semivar93.75","semivar94.6875","semivar95.625","semivar96.5625","semivar97.5","semivar98.4375","semivar99.375","semivar100.3125","semivar101.25","semivar102.1875","semivar103.125","semivar104.0625","semivar105","semivar105.9375","semivar106.875","semivar107.8125","semivar108.75","semivar109.6875","semivar110.625","semivar111.5625","semivar112.5","semivar113.4375","semivar114.375","semivar115.3125","semivar116.25","semivar117.1875","semivar118.125","semivar119.0625","semivar120","semivar120.9375","semivar121.875","semivar122.8125","semivar123.75","semivar124.6875","semivar125.625","semivar126.5625","semivar127.5","semivar128.4375","semivar129.375","semivar130.3125","semivar131.25","semivar132.1875","semivar133.125","semivar134.0625","semivar135","semivar135.9375","semivar136.875","semivar137.8125","semivar138.75","semivar139.6875","semivar140.625","semivar141.5625","semivar142.5","semivar143.4375","semivar144.375","semivar145.3125","semivar146.25","semivar147.1875","semivar148.125","semivar149.0625","semivar150","semivar150.9375","semivar151.875","semivar152.8125","semivar153.75","semivar154.6875","semivar155.625","semivar156.5625","semivar157.5","semivar158.4375","semivar159.375","semivar160.3125","semivar161.25","semivar162.1875","semivar163.125","semivar164.0625","semivar165","semivar165.9375","semivar166.875","semivar167.8125","semivar168.75","semivar169.6875","semivar170.625","semivar171.5625","semivar172.5","semivar173.4375","semivar174.375","semivar175.3125","semivar176.25","semivar177.1875","semivar178.125","semivar179.0625","semivar180","semivar180.9375","semivar181.875","semivar182.8125","semivar183.75","semivar184.6875","semivar185.625","semivar186.5625","semivar187.5","semivar188.4375","semivar189.375","semivar190.3125","semivar191.25","semivar192.1875","semivar193.125","semivar194.0625","semivar195","semivar195.9375","semivar196.875","semivar197.8125","semivar198.75","semivar199.6875","semivar200.625","semivar201.5625","semivar202.5","semivar203.4375","semivar204.375","semivar205.3125","semivar206.25","semivar207.1875","semivar208.125","semivar209.0625","semivar210","semivar210.9375","semivar211.875","semivar212.8125","semivar213.75","semivar214.6875","semivar215.625","semivar216.5625","semivar217.5","semivar218.4375","semivar219.375","semivar220.3125","semivar221.25","semivar222.1875","semivar223.125","semivar224.0625","semivar225","semivar225.9375","semivar226.875","semivar227.8125","semivar228.75","semivar229.6875","semivar230.625","semivar231.5625","semivar232.5","semivar233.4375","semivar234.375","semivar235.3125","semivar236.25","semivar237.1875","semivar238.125","semivar239.0625","semivar240","semivar240.9375","semivar241.875","semivar242.8125","semivar243.75","semivar244.6875","semivar245.625","semivar246.5625","semivar247.5","semivar248.4375","semivar249.375","semivar250.3125","semivar251.25","semivar252.1875","semivar253.125","semivar254.0625","semivar255","semivar255.9375","semivar256.875","semivar257.8125","semivar258.75","semivar259.6875","semivar260.625","semivar261.5625","semivar262.5","semivar263.4375","semivar264.375","semivar265.3125","semivar266.25","semivar267.1875","semivar268.125","semivar269.0625","semivar270","semivar270.9375","semivar271.875","semivar272.8125","semivar273.75","semivar274.6875","semivar275.625","semivar276.5625","semivar277.5","semivar278.4375","semivar279.375","semivar280.3125","semivar281.25","semivar282.1875","semivar283.125","semivar284.0625","semivar285","semivar285.9375","semivar286.875","semivar287.8125","semivar288.75","semivar289.6875","semivar290.625","semivar291.5625","semivar292.5","semivar293.4375","semivar294.375","semivar295.3125","semivar296.25","semivar297.1875","semivar298.125","semivar299.0625","semivar300"
"AR-372_NR1_2015-09-02_R_T1",17,"9/2/2015","11:30:52 AM",38.6147,27.665,16.2757,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",100,0.940438871473354,0.77199422,"3.48100000000054e-05","0.00155236000000004","0.000449440000000014","0.00073984000000003","0.00022801000000001","0.000144000000000011","3.48100000000054e-05","3.8439999999997e-05","0","0.00073984000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",18,"9/2/2015","11:30:53 AM",38.5835,27.665,16.2545,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",110,1.03448275862069,0.853909954999997,"0.000449440000000014","0.000234089999999996","0.000331240000000008","0","3.60000000000027e-05","3.72099999999999e-05","8.46399999999977e-05","0.000234089999999996","0.000750760000000005","0.000449440000000014","3.60000000000027e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",19,"9/2/2015","11:30:54 AM",38.548,27.665,16.2304,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",120,1.12852664576803,0.938948019999993,"0.000580810000000033","0.00205209000000009","0.00155236000000004","3.48100000000054e-05","0.000580810000000033","0.000327610000000016","0.00091204000000004","0.00110889000000004","0.00155236000000004","0.00265225000000008","0.00205209000000009","0.000327610000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",20,"9/2/2015","11:30:55 AM",38.5033,27.665,16.1999,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",130,1.22257053291536,1.02918864499999,"0.000930249999999998","0.00298116000000007","0.00574564000000015","0.00488601000000007","0.00132496000000003","0.00298116000000007","0.00236196000000004","0.00368449000000008","0.00407044000000007","0.00488601000000007","0.00672400000000012","0.00574564000000015","0.00236196000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",21,"9/2/2015","11:30:56 AM",38.4588,27.665,16.1697,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",140,1.3166144200627,1.09294373999999,"0.00091204000000004","0.00368449000000008","0.00719104000000022","0.0112360000000003","0.0100200100000002","0.00443556000000015","0.00719104000000022","0.00620944000000017","0.00826281000000024","0.00883600000000022","0.0100200100000002","0.0125888400000003","0.0112360000000003","0.00620944000000017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",22,"9/2/2015","11:30:57 AM",38.4588,27.665,16.1697,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",150,1.41065830721003,1.108434005,"0","0.00091204000000004","0.00368449000000008","0.00719104000000022","0.0112360000000003","0.0100200100000002","0.00443556000000015","0.00719104000000022","0.00620944000000017","0.00826281000000024","0.00883600000000022","0.0100200100000002","0.0125888400000003","0.0112360000000003","0.00620944000000017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",23,"9/2/2015","11:30:58 AM",38.499,27.665,16.197,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",160,1.50470219435737,1.07916599,"0.000745290000000018","0.000745290000000018","8.41000000000201e-06","0.00111556000000002","0.00330625000000011","0.00619369000000021","0.00529984000000013","0.00154449000000006","0.00330625000000011","0.00265225000000008","0.00404496000000013","0.00444889000000012","0.00529984000000013","0.00720801000000018","0.00619369000000021","0.00265225000000008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",24,"9/2/2015","11:30:59 AM",38.5568,27.665,16.2363,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",170,1.5987460815047,1.042655225,"0.00154449000000006","0.00443556000000015","0.00443556000000015","0.00132496000000003","3.48100000000054e-05","0.000331240000000008","0.00155236000000004","0.00112225000000001","0","0.000331240000000008","0.00014884","0.00059049000000001","0.000750760000000005","0.00112225000000001","0.00207936000000003","0.00155236000000004","0.00014884","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",25,"9/2/2015","11:31:00 AM",38.6237,27.665,16.2819,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",180,1.69278996865204,1.015238335,"0.00207936000000003","0.00720801000000018","0.0125888400000003","0.0125888400000003","0.00672400000000012","0.00265225000000008","0.000750760000000005","3.8439999999997e-05","0.000146410000000005","0.00207936000000003","0.000750760000000005","0.00111556000000002","0.000453690000000004","0.000331240000000008","0.000146410000000005","0","3.8439999999997e-05","0.00111556000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR1_2015-09-02_R_T1",26,"9/2/2015","11:31:01 AM",38.646,27.665,16.297,NA,"AR-372_NR1_2015-09-02_R_T1_final.csv",190,1.78683385579937,1.00007383,"0.00022801000000001","0.00368449000000008","0.0100000000000003","0.0162052900000004","0.0162052900000004","0.00942841000000021","0.00443556000000015","0.00180625000000004","0.000453690000000004","0.00073984000000003","0.00368449000000008","0.00180625000000004","0.00235225000000006","0.00132496000000003","0.00110889000000004","0.00073984000000003","0.00022801000000001","0.000453690000000004","0.00235225000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
